التاريخ,الفرع,الرصيد (بالدرهم)
2023-09-29,مراكش - جليز,9236014.21
2023-09-29,طنجة - وسط المدينة,7645012.84
2023-09-29,فاس - النرجس,11202773.36
2023-09-30,الدار البيضاء - المركز الرئيسي,5580826.36
2023-09-30,الرباط - أكدال,5833615.61
2023-09-30,مراكش - جليز,10085406.1
2023-09-30,طنجة - وسط المدينة,12543217.03
2023-09-30,فاس - النرجس,11355589.85
2023-10-01,الدار البيضاء - المركز الرئيسي,6037861.6
2023-10-01,الرباط - أكدال,9485345.51
2023-10-01,مراكش - جليز,8552151.97
2023-10-01,طنجة - وسط المدينة,8786998.88
2023-10-01,فاس - النرجس,11540908.72
2023-10-02,الدار البيضاء - المركز الرئيسي,5672300.94
2023-10-02,الرباط - أكدال,6637874.08
2023-10-02,مراكش - جليز,11109198.09
2023-10-02,طنجة - وسط المدينة,7772012.63
2023-10-02,فاس - النرجس,10110734.64
2023-10-03,الدار البيضاء - المركز الرئيسي,5470971.63
2023-10-03,الرباط - أكدال,12200411.9
2023-10-03,مراكش - جليز,6997339.79
2023-10-03,طنجة - وسط المدينة,10411690.87
2023-10-03,فاس - النرجس,5867187.3
2023-10-04,الدار البيضاء - المركز الرئيسي,5730916.14
2023-10-04,الرباط - أكدال,10415834.42
2023-10-04,مراكش - جليز,10327464.91
2023-10-04,طنجة - وسط المدينة,6080827.19
2023-10-04,فاس - النرجس,5250406.93
2023-10-05,الدار البيضاء - المركز الرئيسي,5503026.47
2023-10-05,الرباط - أكدال,4452961.75
2023-10-05,مراكش - جليز,12821308.36
2023-10-05,طنجة - وسط المدينة,8610764.75
2023-10-05,فاس - النرجس,4334031.76
2023-10-06,الدار البيضاء - المركز الرئيسي,11346068.66
2023-10-06,الرباط - أكدال,5527879.96
2023-10-06,مراكش - جليز,7192095.64
2023-10-06,طنجة - وسط المدينة,10808554.83
2023-10-06,فاس - النرجس,10793442.61
2023-10-07,الدار البيضاء - المركز الرئيسي,11201596.72
2023-10-07,الرباط - أكدال,4397841.14
2023-10-07,مراكش - جليز,6576452.42
2023-10-07,طنجة - وسط المدينة,8060744.33
2023-10-07,فاس - النرجس,5293973.46
2023-10-08,الدار البيضاء - المركز الرئيسي,7710788.15
2023-10-08,الرباط - أكدال,10337935.27
2023-10-08,مراكش - جليز,11688946.93
2023-10-08,طنجة - وسط المدينة,8392216.63
2023-10-08,فاس - النرجس,11504826.52
2023-10-09,الدار البيضاء - المركز الرئيسي,8998378.9
2023-10-09,الرباط - أكدال,7880620.77
2023-10-09,مراكش - جليز,12651373.12
2023-10-09,طنجة - وسط المدينة,5172520.89
2023-10-09,فاس - النرجس,6572381.76
2023-10-10,الدار البيضاء - المركز الرئيسي,10245686.58
2023-10-10,الرباط - أكدال,12509112.44
2023-10-10,مراكش - جليز,11415831.86
2023-10-10,طنجة - وسط المدينة,10998425.36
2023-10-10,فاس - النرجس,6637731.02
2023-10-11,الدار البيضاء - المركز الرئيسي,8352943.76
2023-10-11,الرباط - أكدال,7177964.51
2023-10-11,مراكش - جليز,7656931.41
2023-10-11,طنجة - وسط المدينة,9693508.45
2023-10-11,فاس - النرجس,6524727.67
2023-10-12,الدار البيضاء - المركز الرئيسي,11114056.02
2023-10-12,الرباط - أكدال,11948257.34
2023-10-12,مراكش - جليز,8418685.63
2023-10-12,طنجة - وسط المدينة,11625683.39
2023-10-12,فاس - النرجس,9504066.48
2023-10-13,الدار البيضاء - المركز الرئيسي,4558343.42
2023-10-13,الرباط - أكدال,10820457.05
2023-10-13,مراكش - جليز,10521541.22
2023-10-13,طنجة - وسط المدينة,11736516.67
2023-10-13,فاس - النرجس,4062140.86
2023-10-14,الدار البيضاء - المركز الرئيسي,11586398.15
2023-10-14,الرباط - أكدال,8028903.3
2023-10-14,مراكش - جليز,5301163.99
2023-10-14,طنجة - وسط المدينة,6185221.23
2023-10-14,فاس - النرجس,4467210.59
2023-10-15,الدار البيضاء - المركز الرئيسي,10043218.48
2023-10-15,الرباط - أكدال,8832405.81
2023-10-15,مراكش - جليز,11081768.25
2023-10-15,طنجة - وسط المدينة,5412296.12
2023-10-15,فاس - النرجس,9318595.66
2023-10-16,الدار البيضاء - المركز الرئيسي,11291261.45
2023-10-16,الرباط - أكدال,6178153.67
2023-10-16,مراكش - جليز,10203400.61
2023-10-16,طنجة - وسط المدينة,5875160.7
2023-10-16,فاس - النرجس,7503923.93
2023-10-17,الدار البيضاء - المركز الرئيسي,9674828.76
2023-10-17,الرباط - أكدال,12561894.57
2023-10-17,مراكش - جليز,10694154.56
2023-10-17,طنجة - وسط المدينة,4957012.67
2023-10-17,فاس - النرجس,4546898.61
2023-10-18,الدار البيضاء - المركز الرئيسي,6846467.21
2023-10-18,الرباط - أكدال,6558340.97
2023-10-18,مراكش - جليز,4347870.1
2023-10-18,طنجة - وسط المدينة,6907846.42
2023-10-18,فاس - النرجس,11054532.33
2023-10-19,الدار البيضاء - المركز الرئيسي,6286111.75
2023-10-19,الرباط - أكدال,4524879.26
2023-10-19,مراكش - جليز,5572307.23
2023-10-19,طنجة - وسط المدينة,4939232.53
2023-10-19,فاس - النرجس,10973667.42
2023-10-20,الدار البيضاء - المركز الرئيسي,8343212.74
2023-10-20,الرباط - أكدال,10523778.74
2023-10-20,مراكش - جليز,8127546.67
2023-10-20,طنجة - وسط المدينة,8278812.8
2023-10-20,فاس - النرجس,5425967.78
2023-10-21,الدار البيضاء - المركز الرئيسي,8306867.83
2023-10-21,الرباط - أكدال,6368282.77
2023-10-21,مراكش - جليز,11357430.09
2023-10-21,طنجة - وسط المدينة,4811390.1
2023-10-21,فاس - النرجس,4176908.71
2023-10-22,الدار البيضاء - المركز الرئيسي,5330648.4
2023-10-22,الرباط - أكدال,10019461.8
2023-10-22,مراكش - جليز,9223112.71
2023-10-22,طنجة - وسط المدينة,6142922.16
2023-10-22,فاس - النرجس,7516983.17
2023-10-23,الدار البيضاء - المركز الرئيسي,4948381.96
2023-10-23,الرباط - أكدال,4339503.5
2023-10-23,مراكش - جليز,11273408.32
2023-10-23,طنجة - وسط المدينة,11486945.43
2023-10-23,فاس - النرجس,11124601.86
2023-10-24,الدار البيضاء - المركز الرئيسي,4980932.8
2023-10-24,الرباط - أكدال,6011736.83
2023-10-24,مراكش - جليز,12714839.62
2023-10-24,طنجة - وسط المدينة,4233704.24
2023-10-24,فاس - النرجس,10951172.38
2023-10-25,الدار البيضاء - المركز الرئيسي,9978593.84
2023-10-25,الرباط - أكدال,7706061.0
2023-10-25,مراكش - جليز,4352658.62
2023-10-25,طنجة - وسط المدينة,9190421.06
2023-10-25,فاس - النرجس,8437561.85
2023-10-26,الدار البيضاء - المركز الرئيسي,8537976.81
2023-10-26,الرباط - أكدال,4610950.96
2023-10-26,مراكش - جليز,6008406.22
2023-10-26,طنجة - وسط المدينة,5497325.19
2023-10-26,فاس - النرجس,12083358.71
2023-10-27,الدار البيضاء - المركز الرئيسي,12544229.78
2023-10-27,الرباط - أكدال,10151938.08
2023-10-27,مراكش - جليز,12656143.55
2023-10-27,طنجة - وسط المدينة,12315978.01
2023-10-27,فاس - النرجس,4235075.05
2023-10-28,الدار البيضاء - المركز الرئيسي,8780019.73
2023-10-28,الرباط - أكدال,12586427.7
2023-10-28,مراكش - جليز,11256534.22
2023-10-28,طنجة - وسط المدينة,4167560.28
2023-10-28,فاس - النرجس,6796586.58
2023-10-29,الدار البيضاء - المركز الرئيسي,12930499.67
2023-10-29,الرباط - أكدال,12091060.8
2023-10-29,مراكش - جليز,4322095.3
2023-10-29,طنجة - وسط المدينة,7105548.62
2023-10-29,فاس - النرجس,5373356.03
2023-10-30,الدار البيضاء - المركز الرئيسي,7398580.43
2023-10-30,الرباط - أكدال,12506595.53
2023-10-30,مراكش - جليز,4841731.51
2023-10-30,طنجة - وسط المدينة,7416839.07
2023-10-30,فاس - النرجس,4783521.41
2023-10-31,الدار البيضاء - المركز الرئيسي,10720935.7
2023-10-31,الرباط - أكدال,5003968.14
2023-10-31,مراكش - جليز,5491245.28
2023-10-31,طنجة - وسط المدينة,9507356.4
2023-10-31,فاس - النرجس,7646937.89
2023-11-01,الدار البيضاء - المركز الرئيسي,7124998.17
2023-11-01,الرباط - أكدال,5253818.95
2023-11-01,مراكش - جليز,12824730.74
2023-11-01,طنجة - وسط المدينة,9724704.23
2023-11-01,فاس - النرجس,11165220.51
2023-11-02,الدار البيضاء - المركز الرئيسي,12058299.42
2023-11-02,الرباط - أكدال,6792049.44
2023-11-02,مراكش - جليز,6911497.51
2023-11-02,طنجة - وسط المدينة,11204854.88
2023-11-02,فاس - النرجس,6906073.84
2023-11-03,الدار البيضاء - المركز الرئيسي,11005517.29
2023-11-03,الرباط - أكدال,9196537.13
2023-11-03,مراكش - جليز,6422553.49
2023-11-03,طنجة - وسط المدينة,10156376.13
2023-11-03,فاس - النرجس,5258931.48
2023-11-04,الدار البيضاء - المركز الرئيسي,12305307.55
2023-11-04,الرباط - أكدال,6201698.96
2023-11-04,مراكش - جليز,11039235.72
2023-11-04,طنجة - وسط المدينة,10757358.66
2023-11-04,فاس - النرجس,12339990.98
2023-11-05,الدار البيضاء - المركز الرئيسي,12842090.32
2023-11-05,الرباط - أكدال,9768468.99
2023-11-05,مراكش - جليز,4763732.36
2023-11-05,طنجة - وسط المدينة,11625452.12
2023-11-05,فاس - النرجس,7488250.17
2023-11-06,الدار البيضاء - المركز الرئيسي,5450144.96
2023-11-06,الرباط - أكدال,8703443.22
2023-11-06,مراكش - جليز,9627033.15
2023-11-06,طنجة - وسط المدينة,12682647.35
2023-11-06,فاس - النرجس,12075278.81
2023-11-07,الدار البيضاء - المركز الرئيسي,9360200.56
2023-11-07,الرباط - أكدال,6868409.48
2023-11-07,مراكش - جليز,10671934.53
2023-11-07,طنجة - وسط المدينة,9074572.91
2023-11-07,فاس - النرجس,10154474.61
2023-11-08,الدار البيضاء - المركز الرئيسي,7479802.68
2023-11-08,الرباط - أكدال,9327910.22
2023-11-08,مراكش - جليز,9212356.73
2023-11-08,طنجة - وسط المدينة,12007968.57
2023-11-08,فاس - النرجس,7390728.32
2023-11-09,الدار البيضاء - المركز الرئيسي,5127261.08
2023-11-09,الرباط - أكدال,12260105.43
2023-11-09,مراكش - جليز,8674897.11
2023-11-09,طنجة - وسط المدينة,10935552.21
2023-11-09,فاس - النرجس,6766055.24
2023-11-10,الدار البيضاء - المركز الرئيسي,8774369.97
2023-11-10,الرباط - أكدال,10522969.94
2023-11-10,مراكش - جليز,4332262.94
2023-11-10,طنجة - وسط المدينة,9513466.09
2023-11-10,فاس - النرجس,5941501.21
2023-11-11,الدار البيضاء - المركز الرئيسي,9249956.71
2023-11-11,الرباط - أكدال,9663759.07
2023-11-11,مراكش - جليز,7184361.76
2023-11-11,طنجة - وسط المدينة,9140282.75
2023-11-11,فاس - النرجس,7922180.8
2023-11-12,الدار البيضاء - المركز الرئيسي,10126945.71
2023-11-12,الرباط - أكدال,9669638.66
2023-11-12,مراكش - جليز,7265294.49
2023-11-12,طنجة - وسط المدينة,10645951.21
2023-11-12,فاس - النرجس,7636384.77
2023-11-13,الدار البيضاء - المركز الرئيسي,7454166.8
2023-11-13,الرباط - أكدال,6318432.49
2023-11-13,مراكش - جليز,4628474.67
2023-11-13,طنجة - وسط المدينة,11342464.46
2023-11-13,فاس - النرجس,10584953.49
2023-11-14,الدار البيضاء - المركز الرئيسي,9614581.96
2023-11-14,الرباط - أكدال,12063317.01
2023-11-14,مراكش - جليز,5131407.28
2023-11-14,طنجة - وسط المدينة,8733568.62
2023-11-14,فاس - النرجس,11499059.82
2023-11-15,الدار البيضاء - المركز الرئيسي,6951090.26
2023-11-15,الرباط - أكدال,12669522.9
2023-11-15,مراكش - جليز,6778412.41
2023-11-15,طنجة - وسط المدينة,11306117.58
2023-11-15,فاس - النرجس,5032461.16
2023-11-16,الدار البيضاء - المركز الرئيسي,7381141.38
2023-11-16,الرباط - أكدال,10691566.35
2023-11-16,مراكش - جليز,8624916.59
2023-11-16,طنجة - وسط المدينة,7202061.57
2023-11-16,فاس - النرجس,4185221.8
2023-11-17,الدار البيضاء - المركز الرئيسي,8781451.81
2023-11-17,الرباط - أكدال,11539615.3
2023-11-17,مراكش - جليز,10463154.37
2023-11-17,طنجة - وسط المدينة,10418112.65
2023-11-17,فاس - النرجس,4579496.41
2023-11-18,الدار البيضاء - المركز الرئيسي,8993775.7
2023-11-18,الرباط - أكدال,5805604.43
2023-11-18,مراكش - جليز,12028560.78
2023-11-18,طنجة - وسط المدينة,9393313.37
2023-11-18,فاس - النرجس,7042324.46
2023-11-19,الدار البيضاء - المركز الرئيسي,4643449.21
2023-11-19,الرباط - أكدال,11491933.12
2023-11-19,مراكش - جليز,4191599.01
2023-11-19,طنجة - وسط المدينة,10074028.02
2023-11-19,فاس - النرجس,6062168.62
2023-11-20,الدار البيضاء - المركز الرئيسي,12124216.72
2023-11-20,الرباط - أكدال,11665554.13
2023-11-20,مراكش - جليز,10543604.24
2023-11-20,طنجة - وسط المدينة,12474407.89
2023-11-20,فاس - النرجس,8523092.5
2023-11-21,الدار البيضاء - المركز الرئيسي,7947801.84
2023-11-21,الرباط - أكدال,10402735.37
2023-11-21,مراكش - جليز,12913852.85
2023-11-21,طنجة - وسط المدينة,9905357.21
2023-11-21,فاس - النرجس,4931546.5
2023-11-22,الدار البيضاء - المركز الرئيسي,4338146.3
2023-11-22,الرباط - أكدال,7501767.51
2023-11-22,مراكش - جليز,7605574.45
2023-11-22,طنجة - وسط المدينة,6291217.66
2023-11-22,فاس - النرجس,12692818.28
2023-11-23,الدار البيضاء - المركز الرئيسي,8135129.29
2023-11-23,الرباط - أكدال,4450683.93
2023-11-23,مراكش - جليز,5291498.27
2023-11-23,طنجة - وسط المدينة,5307103.23
2023-11-23,فاس - النرجس,11190665.04
2023-11-24,الدار البيضاء - المركز الرئيسي,5241081.19
2023-11-24,الرباط - أكدال,6628243.97
2023-11-24,مراكش - جليز,11561061.2
2023-11-24,طنجة - وسط المدينة,4719140.27
2023-11-24,فاس - النرجس,9543640.07
2023-11-25,الدار البيضاء - المركز الرئيسي,7523268.98
2023-11-25,الرباط - أكدال,9209812.81
2023-11-25,مراكش - جليز,11831328.19
2023-11-25,طنجة - وسط المدينة,6702443.85
2023-11-25,فاس - النرجس,4582975.3
2023-11-26,الدار البيضاء - المركز الرئيسي,11844381.92
2023-11-26,الرباط - أكدال,7004857.87
2023-11-26,مراكش - جليز,10269422.8
2023-11-26,طنجة - وسط المدينة,9060553.47
2023-11-26,فاس - النرجس,11687436.35
2023-11-27,الدار البيضاء - المركز الرئيسي,7319894.25
2023-11-27,الرباط - أكدال,5466001.39
2023-11-27,مراكش - جليز,6695309.34
2023-11-27,طنجة - وسط المدينة,11640532.45
2023-11-27,فاس - النرجس,7356892.76
2023-11-28,الدار البيضاء - المركز الرئيسي,8489085.43
2023-11-28,الرباط - أكدال,6989652.08
2023-11-28,مراكش - جليز,4351486.55
2023-11-28,طنجة - وسط المدينة,8605949.27
2023-11-28,فاس - النرجس,7611276.67
2023-11-29,الدار البيضاء - المركز الرئيسي,8392863.02
2023-11-29,الرباط - أكدال,8870922.09
2023-11-29,مراكش - جليز,12753071.1
2023-11-29,طنجة - وسط المدينة,9809439.51
2023-11-29,فاس - النرجس,11304874.4
2023-11-30,الدار البيضاء - المركز الرئيسي,6105173.57
2023-11-30,الرباط - أكدال,7361724.33
2023-11-30,مراكش - جليز,11831812.17
2023-11-30,طنجة - وسط المدينة,12685922.54
2023-11-30,فاس - النرجس,10056351.28
2023-12-01,الدار البيضاء - المركز الرئيسي,4973111.2
2023-12-01,الرباط - أكدال,6343282.61
2023-12-01,مراكش - جليز,11511591.55
2023-12-01,طنجة - وسط المدينة,8071808.04
2023-12-01,فاس - النرجس,6034570.23
2023-12-02,الدار البيضاء - المركز الرئيسي,10536767.28
2023-12-02,الرباط - أكدال,7447975.14
2023-12-02,مراكش - جليز,7430662.74
2023-12-02,طنجة - وسط المدينة,5991700.79
2023-12-02,فاس - النرجس,11494156.11
2023-12-03,الدار البيضاء - المركز الرئيسي,12402390.88
2023-12-03,الرباط - أكدال,5408712.3
2023-12-03,مراكش - جليز,6853306.18
2023-12-03,طنجة - وسط المدينة,4047326.38
2023-12-03,فاس - النرجس,5913074.42
2023-12-04,الدار البيضاء - المركز الرئيسي,7271084.61
2023-12-04,الرباط - أكدال,10663308.14
2023-12-04,مراكش - جليز,5965392.16
2023-12-04,طنجة - وسط المدينة,12950540.65
2023-12-04,فاس - النرجس,4249664.03
2023-12-05,الدار البيضاء - المركز الرئيسي,5703939.92
2023-12-05,الرباط - أكدال,11020106.5
2023-12-05,مراكش - جليز,7185219.27
2023-12-05,طنجة - وسط المدينة,6189442.15
2023-12-05,فاس - النرجس,10306797.99
2023-12-06,الدار البيضاء - المركز الرئيسي,10217243.58
2023-12-06,الرباط - أكدال,8946605.99
2023-12-06,مراكش - جليز,11313422.19
2023-12-06,طنجة - وسط المدينة,12996285.96
2023-12-06,فاس - النرجس,8465745.91
2023-12-07,الدار البيضاء - المركز الرئيسي,10507329.42
2023-12-07,الرباط - أكدال,4284720.98
2023-12-07,مراكش - جليز,5973508.14
2023-12-07,طنجة - وسط المدينة,6116439.25
2023-12-07,فاس - النرجس,5770765.86
2023-12-08,الدار البيضاء - المركز الرئيسي,10468979.42
2023-12-08,الرباط - أكدال,7170351.32
2023-12-08,مراكش - جليز,12074239.5
2023-12-08,طنجة - وسط المدينة,4040818.53
2023-12-08,فاس - النرجس,8415107.6
2023-12-09,الدار البيضاء - المركز الرئيسي,12672807.12
2023-12-09,الرباط - أكدال,6639761.49
2023-12-09,مراكش - جليز,8242196.78
2023-12-09,طنجة - وسط المدينة,7020026.89
2023-12-09,فاس - النرجس,9225913.58
2023-12-10,الدار البيضاء - المركز الرئيسي,11693291.96
2023-12-10,الرباط - أكدال,11834108.35
2023-12-10,مراكش - جليز,12502626.38
2023-12-10,طنجة - وسط المدينة,8653607.39
2023-12-10,فاس - النرجس,11792778.8
2023-12-11,الدار البيضاء - المركز الرئيسي,5345680.08
2023-12-11,الرباط - أكدال,10922249.48
2023-12-11,مراكش - جليز,8483540.34
2023-12-11,طنجة - وسط المدينة,12200039.32
2023-12-11,فاس - النرجس,6077807.3
2023-12-12,الدار البيضاء - المركز الرئيسي,12084171.46
2023-12-12,الرباط - أكدال,7848911.29
2023-12-12,مراكش - جليز,4573971.6
2023-12-12,طنجة - وسط المدينة,6550435.26
2023-12-12,فاس - النرجس,12864857.68
2023-12-13,الدار البيضاء - المركز الرئيسي,4843485.92
2023-12-13,الرباط - أكدال,4148638.84
2023-12-13,مراكش - جليز,9675448.18
2023-12-13,طنجة - وسط المدينة,8558630.87
2023-12-13,فاس - النرجس,5147455.75
2023-12-14,الدار البيضاء - المركز الرئيسي,5300374.26
2023-12-14,الرباط - أكدال,11385964.23
2023-12-14,مراكش - جليز,6543407.92
2023-12-14,طنجة - وسط المدينة,11044207.65
2023-12-14,فاس - النرجس,12267144.79
2023-12-15,الدار البيضاء - المركز الرئيسي,8411210.52
2023-12-15,الرباط - أكدال,10732747.96
2023-12-15,مراكش - جليز,10438993.76
2023-12-15,طنجة - وسط المدينة,12655974.07
2023-12-15,فاس - النرجس,4652539.17
2023-12-16,الدار البيضاء - المركز الرئيسي,7055396.61
2023-12-16,الرباط - أكدال,11504726.15
2023-12-16,مراكش - جليز,9872485.11
2023-12-16,طنجة - وسط المدينة,10533494.65
2023-12-16,فاس - النرجس,12877407.57
2023-12-17,الدار البيضاء - المركز الرئيسي,12943526.24
2023-12-17,الرباط - أكدال,8691281.77
2023-12-17,مراكش - جليز,6460211.02
2023-12-17,طنجة - وسط المدينة,4532261.17
2023-12-17,فاس - النرجس,6851847.0
2023-12-18,الدار البيضاء - المركز الرئيسي,7969988.56
2023-12-18,الرباط - أكدال,7694109.88
2023-12-18,مراكش - جليز,12277230.29
2023-12-18,طنجة - وسط المدينة,8515352.05
2023-12-18,فاس - النرجس,11896717.36
2023-12-19,الدار البيضاء - المركز الرئيسي,5228128.74
2023-12-19,الرباط - أكدال,9857381.75
2023-12-19,مراكش - جليز,6194222.7
2023-12-19,طنجة - وسط المدينة,9187922.47
2023-12-19,فاس - النرجس,5076505.25
2023-12-20,الدار البيضاء - المركز الرئيسي,11057421.32
2023-12-20,الرباط - أكدال,11681964.83
2023-12-20,مراكش - جليز,5135904.79
2023-12-20,طنجة - وسط المدينة,5663481.03
2023-12-20,فاس - النرجس,4339316.91
2023-12-21,الدار البيضاء - المركز الرئيسي,6674723.58
2023-12-21,الرباط - أكدال,7145370.71
2023-12-21,مراكش - جليز,5598927.85
2023-12-21,طنجة - وسط المدينة,8273850.62
2023-12-21,فاس - النرجس,8180555.85
2023-12-22,الدار البيضاء - المركز الرئيسي,7834198.58
2023-12-22,الرباط - أكدال,5339031.22
2023-12-22,مراكش - جليز,6126102.12
2023-12-22,طنجة - وسط المدينة,4300686.1
2023-12-22,فاس - النرجس,4629691.54
2023-12-23,الدار البيضاء - المركز الرئيسي,4179690.42
2023-12-23,الرباط - أكدال,8417602.37
2023-12-23,مراكش - جليز,5087453.89
2023-12-23,طنجة - وسط المدينة,11439727.97
2023-12-23,فاس - النرجس,5158813.79
2023-12-24,الدار البيضاء - المركز الرئيسي,8073404.19
2023-12-24,الرباط - أكدال,8079900.88
2023-12-24,مراكش - جليز,10753357.94
2023-12-24,طنجة - وسط المدينة,8799705.3
2023-12-24,فاس - النرجس,10123800.66
2023-12-25,الدار البيضاء - المركز الرئيسي,4033284.62
2023-12-25,الرباط - أكدال,10200994.85
2023-12-25,مراكش - جليز,10868264.92
2023-12-25,طنجة - وسط المدينة,4999173.96
2023-12-25,فاس - النرجس,8364765.5
2023-12-26,الدار البيضاء - المركز الرئيسي,8927051.23
2023-12-26,الرباط - أكدال,6403109.0
2023-12-26,مراكش - جليز,12937626.81
2023-12-26,طنجة - وسط المدينة,8704016.43
2023-12-26,فاس - النرجس,10937176.26
2023-12-27,الدار البيضاء - المركز الرئيسي,11149911.19
2023-12-27,الرباط - أكدال,12216491.59
2023-12-27,مراكش - جليز,9713374.33
2023-12-27,طنجة - وسط المدينة,9586277.68
2023-12-27,فاس - النرجس,5603115.58
2023-12-28,الدار البيضاء - المركز الرئيسي,9709032.08
2023-12-28,الرباط - أكدال,8696065.98
2023-12-28,مراكش - جليز,9205868.76
2023-12-28,طنجة - وسط المدينة,12615401.81
2023-12-28,فاس - النرجس,12518674.07
2023-12-29,الدار البيضاء - المركز الرئيسي,10926258.43
2023-12-29,الرباط - أكدال,8997963.91
2023-12-29,مراكش - جليز,5605398.56
2023-12-29,طنجة - وسط المدينة,4550743.0
2023-12-29,فاس - النرجس,12807212.78
2023-12-30,الدار البيضاء - المركز الرئيسي,11498629.73
2023-12-30,الرباط - أكدال,11762791.99
2023-12-30,مراكش - جليز,10180414.01
2023-12-30,طنجة - وسط المدينة,5384942.45
2023-12-30,فاس - النرجس,10492348.28
2023-12-31,الدار البيضاء - المركز الرئيسي,11007193.91
2023-12-31,الرباط - أكدال,10431480.18
2023-12-31,مراكش - جليز,8248654.85
2023-12-31,طنجة - وسط المدينة,4160944.29
2023-12-31,فاس - النرجس,10523495.01
2024-01-01,الدار البيضاء - المركز الرئيسي,9351065.57
2024-01-01,الرباط - أكدال,5720522.09
2024-01-01,مراكش - جليز,8155448.07
2024-01-01,طنجة - وسط المدينة,7507464.34
2024-01-01,فاس - النرجس,7734298.05
2024-01-02,الدار البيضاء - المركز الرئيسي,9310781.83
2024-01-02,الرباط - أكدال,8690981.66
2024-01-02,مراكش - جليز,10288250.13
2024-01-02,طنجة - وسط المدينة,7298848.7
2024-01-02,فاس - النرجس,4773791.04
2024-01-03,الدار البيضاء - المركز الرئيسي,8088769.56
2024-01-03,الرباط - أكدال,12253892.09
2024-01-03,مراكش - جليز,4169633.18
2024-01-03,طنجة - وسط المدينة,9193727.73
2024-01-03,فاس - النرجس,8455078.69
2024-01-04,الدار البيضاء - المركز الرئيسي,12033681.63
2024-01-04,الرباط - أكدال,8214249.73
2024-01-04,مراكش - جليز,9381129.62
2024-01-04,طنجة - وسط المدينة,4468574.32
2024-01-04,فاس - النرجس,7652018.2
2024-01-05,الدار البيضاء - المركز الرئيسي,6722823.58
2024-01-05,الرباط - أكدال,12824485.56
2024-01-05,مراكش - جليز,11259222.72
2024-01-05,طنجة - وسط المدينة,7851251.31
2024-01-05,فاس - النرجس,9319827.66
2024-01-06,الدار البيضاء - المركز الرئيسي,8756114.15
2024-01-06,الرباط - أكدال,8587456.6
2024-01-06,مراكش - جليز,12097167.49
2024-01-06,طنجة - وسط المدينة,7035796.31
2024-01-06,فاس - النرجس,12281690.66
2024-01-07,الدار البيضاء - المركز الرئيسي,6706628.36
2024-01-07,الرباط - أكدال,7900027.87
2024-01-07,مراكش - جليز,7266631.52
2024-01-07,طنجة - وسط المدينة,12979843.06
2024-01-07,فاس - النرجس,5020704.15
2024-01-08,الدار البيضاء - المركز الرئيسي,8311656.68
2024-01-08,الرباط - أكدال,11276882.86
2024-01-08,مراكش - جليز,9818576.87
2024-01-08,طنجة - وسط المدينة,9056517.23
2024-01-08,فاس - النرجس,7127499.3
2024-01-09,الدار البيضاء - المركز الرئيسي,5090329.29
2024-01-09,الرباط - أكدال,9332863.2
2024-01-09,مراكش - جليز,11440295.79
2024-01-09,طنجة - وسط المدينة,6104097.19
2024-01-09,فاس - النرجس,11901874.71
2024-01-10,الدار البيضاء - المركز الرئيسي,5353859.73
2024-01-10,الرباط - أكدال,8288518.59
2024-01-10,مراكش - جليز,5520867.76
2024-01-10,طنجة - وسط المدينة,12660039.56
2024-01-10,فاس - النرجس,7331877.86
2024-01-11,الدار البيضاء - المركز الرئيسي,6637095.21
2024-01-11,الرباط - أكدال,12063373.4
2024-01-11,مراكش - جليز,9323286.39
2024-01-11,طنجة - وسط المدينة,10080864.46
2024-01-11,فاس - النرجس,7425769.76
2024-01-12,الدار البيضاء - المركز الرئيسي,4564888.81
2024-01-12,الرباط - أكدال,11886064.6
2024-01-12,مراكش - جليز,8539911.7
2024-01-12,طنجة - وسط المدينة,5710703.48
2024-01-12,فاس - النرجس,9973053.21
2024-01-13,الدار البيضاء - المركز الرئيسي,5961428.06
2024-01-13,الرباط - أكدال,10463852.93
2024-01-13,مراكش - جليز,7638369.14
2024-01-13,طنجة - وسط المدينة,8310614.67
2024-01-13,فاس - النرجس,5853207.98
2024-01-14,الدار البيضاء - المركز الرئيسي,12231725.91
2024-01-14,الرباط - أكدال,8230017.65
2024-01-14,مراكش - جليز,8733867.59
2024-01-14,طنجة - وسط المدينة,5874894.73
2024-01-14,فاس - النرجس,9555068.82
2024-01-15,الدار البيضاء - المركز الرئيسي,4901970.34
2024-01-15,الرباط - أكدال,11017212.44
2024-01-15,مراكش - جليز,12309586.11
2024-01-15,طنجة - وسط المدينة,6465517.35
2024-01-15,فاس - النرجس,11584117.01
2024-01-16,الدار البيضاء - المركز الرئيسي,6868979.36
2024-01-16,الرباط - أكدال,5315474.11
2024-01-16,مراكش - جليز,11465317.02
2024-01-16,طنجة - وسط المدينة,4077300.04
2024-01-16,فاس - النرجس,8892476.5
2024-01-17,الدار البيضاء - المركز الرئيسي,8840148.07
2024-01-17,الرباط - أكدال,4418632.2
2024-01-17,مراكش - جليز,12323563.21
2024-01-17,طنجة - وسط المدينة,7225137.21
2024-01-17,فاس - النرجس,12546549.81
2024-01-18,الدار البيضاء - المركز الرئيسي,9874675.47
2024-01-18,الرباط - أكدال,5320444.2
2024-01-18,مراكش - جليز,7975740.36
2024-01-18,طنجة - وسط المدينة,10093847.17
2024-01-18,فاس - النرجس,4856095.94
